Issued by Organization,Issued for Organization,Title,Opportunity ID,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor Address,Award Total,Date Awarded
Ministry of Citizens' Services,PavCo (BC Pavilion Corporation),Broadcast Renovation,181649,Request for Proposal,2023-11-08,2,2023-12-05,BLT Construction Services ,"901-89 West Georgia st, Vancouver, British Columbia","$629,940.15",2024-01-06
BC Timber Sales Branch ,Okanagan-Columbia ,EN25TKE021 - Geotechnical Services - CZ,EN25TKE021 - TOC,Invitation to Tender,2023-12-05,1,2023-12-29,SNT Geotechnical Ltd.,"Suite 4 385 Baker Street, Nelson, British Columbia","$46,510.00",2024-01-08
BC Timber Sales Branch ,Peace-Liard ,PL25TDF001 - Spring Tree Planting in the Fort St. John Area ,PL25TDF001,Invitation to Tender,2023-11-06,2,2023-12-05,FOLKLORE CONTRACTING LTD.,"1077 Eastern St, Prince George, British Columbia","$1,025,688.64",2024-01-08
BC Timber Sales Branch ,Strait of Georgia ,EN24TCH032 - Mosquito FSR 2.55km Bridge Supply/Install,EN24TCH032,Invitation to Tender,2023-10-27,1,2023-11-27,Roc-Star Enterprises Ltd.,"3290 Third Avenue, Port Alberni, British Columbia","$399,500.00",2024-01-08
Procurement Services Branch ,Ministry of Forests,"Req 59121 WasherDryer Stackable- electric , commercial units",5122500,Invitation to Quote,2023-12-12,0,2023-12-22,Nicholson Mechanical Ltd. ,"2076 Townline Rd - Unit #6, Abbotsford, British Columbia","$340,340.00",2024-01-08
Procurement Services Branch ,Attorney General,Req 8640 Purchase of 9mm Duty Ammunition for BC Sheriff Services,5125113,Invitation to Quote,2023-12-04,0,2023-12-14,Gravel Agency Inc.,"5175 John-Molson, Québec, Québec","$54,075.00",2024-01-09
Procurement Services Branch ,Ministry of Transportation and Infrastructure,Req 222 - 2 Snowmobiles or snow scooters,5125393,Invitation to Quote,2023-12-18,0,2024-01-08,Evergreen Industrial Supplies Ltd,", Smithers, British Columbia","$38,151.90",2024-01-09
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,Hot-In-Place Recycling Hwy 6 Nakusp to Burton (73.6 Lane Kms),26365MJ0000,Invitation to Tender,2023-12-12,1,2024-01-04,Peters Bros. Construction Ltd.,"716 Okanagan Avenue East |, Penticton, British Columbia","$4,468,211.00",2024-01-10
Procurement Services Branch ,Attorney General, Req 8652 Apricorn Aegis Padlock Fortress A25-3PL256-500F1000,5122610,Invitation to Quote,2023-12-14,0,2024-01-05,Arvita Trade,"464 - 5525 WEST BOULEVARD, VANCOUVER, British Columbia","$39,920.00",2024-01-10
Procurement Services Branch ,Attorney General,Req 8644 Purchase of Colt C8 carbine practice ammunition,5122477,Invitation to Quote,2023-12-04,2,2023-12-14,FH Munition Inc,"260 Exploration Ave SE - unit 200, Calgary, Alberta","$137,170.92",2024-01-10
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 40931 BC BID METEOROLOGICAL MONITORING EQUIPMENT - VAISALA HMP-155 TEM,5122537,Invitation to Quote,2023-12-14,0,2023-12-14,CAMPBELL SCIENTIFIC,"14532 - 131 Avenue NW, Edmonton, Alberta","$63,759.25",2024-01-11
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,"BC BID, FY24, ENV, 19 CHEV SILVERADO 2500 See selectors for deta",5125224,Invitation to Quote,2023-12-13,0,2023-12-13,COMMERCIAL LINK,"500 Wentworth St W, Oshawa, Ontario","$1,259,918.50",2024-01-11
Procurement Services Branch ,Ministry of Transportation and Infrastructure,Req 214 Pavement Marking Retro reflectometers - Must meet ASTM E1710 Requirements,5122373,Invitation to Quote,2023-11-22,1,2023-12-05,Gamma Scientific Inc.,"9925 Carroll Canyon Rd, San Diego, California ","$82,000.00",2024-01-11
Ministry of Children and Family Development,SDA 22 - North Fraser ,YOUNG PARENT PROGRAM IN TRI-CITIES AND RIDGE MEADOWS,MCFDNF-RFP-102,Request for Proposal,2023-09-01,0,2023-09-29,WESTCOAST FAMILY CENTRES SOCIETY,"#101-2780 East Broadway, Vancouver, British Columbia","$233,220.00",2024-01-12
Ministry of Forests,Ministry of Forests,Forest Health Treatments in Wildfire Risk Reduction Polygons- FH24DMH026,FH24DMH026,Invitation to Tender,2023-09-07,0,2023-10-03,Forsite Consultants ,"330 42nd St SW, Salmon Arm, British Columbia","$68,310.00",2024-01-12
Product Distribution Centre ,Product Distribution Centre ,RSA 6000080745 IV START ,6000080745,Request for Standing Arrangement,2023-09-20,1,2023-11-09,Andau Medical Inc.,"2500-10220 103 AVE NW, Edmonton, Alberta","$2,385,600.00",2024-01-12
BC Timber Sales Branch ,Okanagan-Columbia ,IM25TKJ006-A - Implementation - NZ,IM25TKJ006-A - TOC,Invitation to Tender,2023-12-06,2,2024-01-04,Dragonfly Forestry Inc.,", Quesnel, British Columbia","$28,678.74",2024-01-15
Ministry of Agriculture and Food,Ministry of Agriculture and Food,Food Supply Chain Analysis,182658,Request for Proposal,2023-10-26,3,2023-11-29,"ISFS, KPU","12666 72 Ave, Surrey, British Columbia","$120,000.00",2024-01-15
Ministry of Forests,District Offices - West Coast Region ,OP24NAN607 - Wildfire Risk Reduction Mount Maguire Fuel Management,185547,Request for Proposal,2023-11-29,1,2024-01-03,REEF POINT FALLING CONTRACTOR LTD,"771 pidcock rd, QUATHIASKI COVE, British Columbia","$12,000.00",2024-01-15
Ministry of Forests,Ministry of Forests,WRR Prescription North Shawnigan Lake,184924,Request for Proposal,2023-11-22,2,2023-12-20,B.A. Blackwell & Associates Ltd.,,"$21,830.00",2024-01-15
BC Timber Sales Branch ,Babine ,PL25TAS5102 – Tree Planting 2024 in the Lakes Area of BC Timber Sales – Babine Business Area,PL25TAS5102,Invitation to Tender,2023-09-28,1,2023-11-01,FOLKLORE CONTRACTING LTD.,"1077 Eastern St, Prince George, British Columbia","$783,233.54",2024-01-17
BC Timber Sales Branch ,Babine ,PL25TAS5101 – Tree Planting 2024 in the Bulkley Area of BC Timber Sales – Babine Business Area,PL25TAS5101,Invitation to Tender,2023-10-11,0,2023-11-14,Whanau Forestry,"PO Box 3175, Smithers, British Columbia","$446,361.30",2024-01-17
BC Timber Sales Branch ,Babine ,PL25TAS5100 – Tree Planting 2024 in the Morice Area of BC Timber Sales – Babine Business Area,PL25TAS5100,Invitation to Tender,2023-10-04,1,2023-11-07,Seneca Enterprises Ltd,,"$455,700.04",2024-01-17
Ministry of Citizens' Services,Ministry of Citizens' Services,No Carbon Required (NCR) Forms,93391,Request for Proposal,2023-10-19,0,2023-11-15,STILL CREEK PRESS,"3988 Still Creek Ave, Burnaby, British Columbia","$250,000.00",2024-01-17
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Highway 4 Beaver Creek Road,20231012,Request for Proposal,2023-10-12,0,2023-11-09,MCELHANNEY LTD,"858 Beatty St, 200, Vancouver, British Columbia","$700,000.00",2024-01-17
Product Distribution Centre ,Product Distribution Centre ,Delca Nutritional Products,187698,Contract Award Notice,2024-01-17,0,2024-01-17,Delca Enterprises Ltd.,,"$54,511.80",2024-01-17
Product Distribution Centre ,Product Distribution Centre ,Vyaire Medical Products,187703,Contract Award Notice,2024-01-17,0,2024-01-17,Cardinal Health Canada Inc,"1000 TESMA WAY, VAUGHAN, Ontario","$199,554.68",2024-01-17
BC Timber Sales Branch ,Babine ,FN25TAS5104 – Tree Planting 2024 in the Morice Area of BC Timber Sales – Babine Business Area (FN Affiliation),FN25TAS5104,Invitation to Tender,2023-10-12,0,2023-11-07,Whanau Forestry,"PO Box 3175, Smithers, British Columbia","$213,100.20",2024-01-18
BC Timber Sales Branch ,Babine ,PL25TAS5103 – Tree Planting 2024 in the Lakes and Morice Areas of BC Timber Sales – Babine Business Area,PL25TAS5103,Invitation to Tender,2023-09-28,2,2023-11-01,SAPLING SILVICULTURE,"807 Oscar St, Revelstoke, British Columbia","$660,126.20",2024-01-18
Liquor Distribution Branch,Liquor Distribution Branch,Customer Experience Platform with Implementation Services,RFP2023-07-19,Request for Proposal (BPS),2023-06-07,5,2023-08-09,EY LLP,"1066 W Hastings St, Vancouver, British Columbia","$9,900,000.00",2024-01-18
Ministry of Housing,Ministry of Housing,NOI - 2024 BC Building Code publishing,187804,Contract Award Notice,2024-01-18,0,2024-01-18,Trax Codes,,"$25,000.00",2024-01-18
Procurement Services Branch ,Ministry of Forests,Req 59203 Purchase and delivery of 30 GPS collars,5125293,Invitation to Quote,2023-12-15,0,2024-01-10,Lotek Wireless Inc,"115 Pony drive, Newmarket, Ontario","$59,400.00",2024-01-18
Ministry of Environment and Climate Change Strategy,BC Parks - Provincial Services Branch ,Bridge design and fabrication - Mt. Robson Provincial Park,186874,Request for Proposal,2023-12-20,0,2024-01-11,Riptide Marine Sales LTD.,"1400 Alberni Hwy, Coombs, British Columbia","$103,300.00",2024-01-19
Procurement Services Branch ,BC Timber Sales Branch ,Req 58990 - 24' tandem axle deck over trailer 14000lbs GVWR,187678,Invitation to Quote,2024-01-16,0,2024-01-17,BARSNESS SALES & SERVICE,"7162 Barsness Rd, Vanderhoof, British Columbia","$20,600.00",2024-01-19
Procurement Services Branch ,Ministry of Forests,"Req 59243 - Design, fabricate, and supply composite steel girder / concrete deck bridge",5125345,Invitation to Quote,2023-12-12,0,2023-12-22,Rapid-Span Structures Limited Partnership,"1145 Industrial Dr, Armstrong, British Columbia","$196,100.00",2024-01-19
Procurement Services Branch ,BC Timber Sales Branch ,Req 59310 Telespar Posts in 3 sizes totaling 216 pieces,5125409,Invitation to Quote,2023-12-20,1,2024-01-10,Tri-Kon Precast Products,"601 Patterson St W, Cranbrook, British Columbia","$22,370.00",2024-01-22
Procurement Services Branch ,Ministry of Agriculture and Food,Req 40992 Liquid Handler for the integration into existing Robotic System,5126423,Invitation to Quote,2023-12-21,0,2024-01-10,BECKMAN COULTER CANADA LP,"7075 Financial Dr, Mississauga, Ontario","$234,288.50",2024-01-22
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 40988 - Purchase of 10 Snowmobiles,5126419,Invitation to Quote,2023-12-19,0,2024-01-09,Cycle North Powersports,"5905 Gauthier Rd, Prince George, British Columbia","$138,540.00",2024-01-22
Attorney General,Court Services Branch ,Patrol Uniform Pants - BC Sheriff Service,172043,Request for Proposal,2023-06-16,2,2023-07-13,Joint Force Tactical ,"Vedder Rd 103-5725 , Chilliwack, British Columbia","$144,375.00",2024-01-23
BC Timber Sales Branch ,Peace-Liard ,PL25TDF002 - Spring Tree Planting in the Fort St. John Area ,PL25TDF002,Invitation to Tender,2023-11-21,0,2023-12-19,Seneca Enterprises Ltd,,"$1,499,980.18",2024-01-23
Ministry of Transportation and Infrastructure,South Coast Regional Office ,Highway No. 7 & Highway No. 11 Mission Truck Re-Routing Intersection Improvements,13216MJ0001,Invitation to Tender,2023-11-22,2,2024-01-09,Key-West Asphalt (333) Ltd. ,,"$3,287,803.44",2024-01-23
Procurement Services Branch ,BC Timber Sales Branch ,Req 59324 - 4 Road Closure Gates,5125424,Invitation to Quote,2023-12-19,0,2024-01-08,T&F Iron Works Ltd.,"Unit 131  -1305 Welch Street, North Vancouver, British Columbia","$46,150.00",2024-01-23
Procurement Services Branch ,Ministry of Citizens' Services,Req 45277 Forescout Technologies Licenses & Support renewal,5125144,Invitation to Quote,2023-11-29,0,2023-12-11,CDW Canada Corp,"P.O. BOX 997, Halifax, Nova Scotia","$73,030.36",2024-01-23
Procurement Services Branch ,Ministry of Forests,"Req 59352 Design, Fabricate and Supply deliver Steel Girder Concrete Bridge K788 Beaverhut",5125463,Invitation to Quote,2023-12-21,1,2024-01-08,"Pioneer Precast Products, a  Division of IOTA Construction Ltd",,"$212,023.00",2024-01-23
Attorney General,Court Services Branch ,Patrol Uniform Jackets - BC Sheriff Service,171918,Request for Proposal,2023-06-15,1,2023-07-12,Joint Force Tactical ,"Vedder Rd 103-5725 , Chilliwack, British Columbia","$108,000.00",2024-01-24
Liquor Distribution Branch,Liquor Distribution Branch,RSA2024-01-02 Emergency Supplies,RSA2024-01-02,Request for Standing Offer (BPS),2023-12-05,0,2024-01-02,Total Prepare,"48 Crease Avenue, Victoria, British Columbia","$74,000.00",2024-01-24
Ministry of Environment and Climate Change Strategy,BC Parks - Provincial Services Branch ,Liard Hot Springs Park Ranger Cabins Fabrication & Installation,181740,Request for Proposal,2023-12-01,4,2024-01-11,Premiere Builders,"105050 RR212a, Picture Butte, AB T0K 1V0","$1,029,331.00",2024-01-24
Procurement Services Branch ,BC Timber Sales Branch ,"Req 59295 - Bridge Sill, Guard Rail and Riser",5126399,Invitation to Quote,2023-12-19,0,2024-01-08,Edge Grain Forest Products Ltd,"PO Box 362, campbell river, British Columbia","$20,951.00",2024-01-24
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 40998 - Lockjoint Cedar Pit Toilet Package(s),5126431,Invitation to Quote,2023-12-21,0,2024-01-08,Pan-Abode International,"330 522 SEVENTH STREET, NEW WESTMINSTER, British Columbia","$42,040.00",2024-01-24
Procurement Services Branch ,Ministry of Forests,"Req 59351 Fabricate and Supply, deliver concrete slab bridge K877 Hummamilt",5125461,Invitation to Quote,2023-12-21,3,2024-01-08,Rapid-Span Precast Limited Partnership,"1145 Industrial Dr, Armstrong, British Columbia","$154,814.00",2024-01-24
BC Timber Sales Branch ,Prince George ,PL25TGE004A - Spring Tree Planting in the Mackenzie Natural Resource District,PL25TGE004A,Invitation to Tender,2023-12-15,0,2024-01-15,FOLKLORE CONTRACTING LTD.,"1077 Eastern St, Prince George, British Columbia","$946,698.21",2024-01-25
Liquor Distribution Branch,Liquor Distribution Branch,RFP2023-12-14 POS and POR Hardware and Peripherals,RFP2023-12-14,Request for Proposal (BPS),2023-11-17,0,2023-12-14,AMPM Mobile Solutions Inc.,,"$6,662,484.00",2024-01-25
"Ministry of Water, Land and Resource Stewardship","Ministry of Water, Land and Resource Stewardship",Cumulative Effects Framework Infographics,185701,Request for Proposal,2023-12-01,1,2024-01-03,Fuse Consulting Ltd.,,"$19,548.00",2024-01-25
Ministry of Social Development and Poverty Reduction,Ministry of Social Development and Poverty Reduction,Third Party Administration of Assistance - Maple Ridge,184196,Request for Proposal,2023-11-14,3,2023-12-13,Triangle Community Resources,"33695 SOUTH FRASER WAY, ABBOTSFORD, British Columbia","$312,000.00",2024-01-26
Ministry of Transportation and Infrastructure,Construction & Maintenance Branch ,"UTILITIES SERVICES, POLICY, AND STRATEGIC DIRECTION CONSULTANT",186869,Request for Proposal,2023-12-20,1,2024-01-17,T.J. Cooper Management Consultants Ltd,"7236 Highcrest Terrace Saanichton, British Columbia ","$250,000.00",2024-01-26
Ministry of Transportation and Infrastructure,Engineering ,RISP # 38492 SCR2023-ENG-04 ,184013,Request for Proposal,2023-11-10,1,2023-12-05,PGL Environmental Consultants,"1500-1185 West Georgia Street, Vancouver, British Columbia","$750,000.00",2024-01-26
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,RISP # 38492 SCR2023-ENG-04 ,184013,Request for Proposal,2023-11-10,1,2023-12-05,WSP Canada Inc.,,"$750,000.00",2024-01-26
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,RISP # 38492 SCR2023-ENG-04 ,184013,Request for Proposal,2023-11-10,1,2023-12-05,MCELHANNEY LTD,,"$750,000.00",2024-01-26
Procurement Services Branch ,Ministry of Citizens' Services,Req 45313 Maint & Renewal Symc File Share Encryption,186676,Invitation to Quote,2023-12-15,0,2024-01-08,Codework Inc,"55 Hawktree Ridge, Ottawa, Ontario","$89,990.00",2024-01-26
Procurement Services Branch ,Ministry of Forests,Req 59407 FY24 TIB Forestry Mulcher,5129367,Invitation to Quote,2024-01-05,1,2024-01-19,Avenue Machinery Corp.,"1521 Sumas Way, Abbotsford, British Columbia","$39,954.82",2024-01-26
Procurement Services Branch ,Ministry of Forests,Req 59405 FY24 TIB Snowplow attachment,187820,Invitation to Quote,2024-01-19,0,2024-01-19,INTERIOR OFFROAD EQUIPMENT LTD.,"1951 1st ave, Prince George, British Columbia","$14,982.77",2024-01-26
Procurement Services Branch ,Ministry of Public Safety and Solicitor General,"Req 8659 - BC BID 55"" & 65"" Televisions",5129364,Invitation to Quote,2024-01-05,1,2024-01-19,Island Key Computer LTD,"938 Howe St, Vancouver, British Columbia","$24,032.00",2024-01-26
Procurement Services Branch ,Ministry of Public Safety and Solicitor General,Req 8666 - Detention Grade Mattresses for Nanaimo DA,5132475,Invitation to Quote,2024-01-26,0,2024-01-26,Correct Solutions Inc,"1688 152 St - suite 404, Surrey, British Columbia","$120,375.00",2024-01-26
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Outhouse Construction,187195,Request for Proposal,2024-01-05,1,2024-01-22,Lynn's Contracting,2501 14th Ave,"$18,920.00",2024-01-29
BC Timber Sales Branch ,Okanagan-Columbia ,EN25TKE019 - FSR Deactivation & Rehabilitation - CZ,EN25TKE019 - TOC,Invitation to Tender,2023-12-14,1,2024-01-09,Little Big Works Revelstoke Ltd,"1051e Sandstone Road, Revelstoke, British Columbia","$128,800.00",2024-01-30
Procurement Services Branch ,BC Timber Sales Branch ,Req 59646 BCTS ATV - 6 UNITS - DAWSON CREEK,5132434,Invitation to Quote,2024-01-26,0,2024-01-26,Cycle North Powersports,"5905 Gauthier Rd, Prince George, British Columbia","$64,200.00",2024-01-30
Procurement Services Branch ,Ministry of Public Safety and Solicitor General,Req 8660 Supply and Install Table with attached seat (workstation),5129434,Invitation to Quote,2024-01-12,0,2024-01-22,Correct Solutions Inc,"1688 152 St - suite 404, Surrey, British Columbia","$21,000.00",2024-01-30
Procurement Services Branch ,Ministry of Transportation and Infrastructure,Req 226 - 2 X UTILITY SNOWMOBILE,5125420,Invitation to Quote,2023-12-19,1,2024-01-05,Great Northern Procurement,"323 Westar Farm Way, Ottawa, Ontario","$48,489.74",2024-01-31
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,Asphalt Surfacing Hwy 3 Riverside RV Park to Keremeos (51.80 Lane Km),26370MJ0000,Invitation to Tender,2023-12-29,0,2024-01-23,Peters Bros. Construction Ltd.,"716 Okanagan Avenue East |, Penticton, British Columbia","$7,373,211.00",2024-02-01
"Ministry of Water, Land and Resource Stewardship","Ministry of Water, Land and Resource Stewardship",Aerial Stone Sheep Inventory,GS24WHS0020,Request for Proposal,2023-12-21,0,2024-01-19,Airborne Energy Solutions Inc.,"Hangar 1
P.O. Box 1229 
Whitecourt, AB
T7S 1P1","$103,500.00",2024-02-01
Procurement Services Branch ,Procurement Services Branch ,Property Management and Preventative Maintenance Services,179509,Request for Proposal,2023-10-05,0,2023-11-02,Black & McDonald Limited,"1331 Clark Drive, Vancouver, BC, V5L 3K9","$15,000,000.00",2024-02-01
Liquor Distribution Branch,Liquor Distribution Branch,RFP 2024-01-12 Distribution Centre Consulting and Leadership Services,RFP2024-01-13,Request for Proposal (BPS),2023-12-08,1,2024-01-13,Supply Chain Alliance Ltd,"1045 Tristar Dr, Mississauga, Ontario","$8,940,000.00",2024-02-02
Procurement Services Branch ,Ministry of Health,Req 9483 Cambian Scheduler Enterprise Maintenance,5131507,Invitation to Quote,2024-01-31,0,2024-01-31,Cambian,"13450 102 Ave, Surrey, British Columbia","$71,500.00",2024-02-02
Procurement Services Branch ,Ministry of Public Safety and Solicitor General,Req 8661 Ballistic Soft Body Armour Panels and Groin Protectors for ERT V,5131412,Invitation to Quote,2024-01-18,0,2024-01-30,Pacific Safety Products Inc.,"124 4th Ave, Arnprior, Ontario","$32,450.00",2024-02-02
Procurement Services Branch ,Ministry of Transportation and Infrastructure,Req 235 - Optic Sensor DSC (DA),5131512,Invitation to Quote,2024-02-02,0,2024-02-02,Vaisala Canada Inc.,,"$170,025.94",2024-02-02
BC Timber Sales Branch ,Skeena ,PL25TII100A - Terrace Spring Plant 2024,PL25TII100A,Invitation to Tender,2024-01-11,0,2024-01-26,Rainforest Field Services Ltd.,"403 - 128 West 6th Ave, Vancouver, British Columbia","$239,907.13",2024-02-05
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 41074 Gates - Vernon,5132336,Invitation to Quote,2024-01-19,0,2024-01-30,Alpha Design,"2795 Pooley Ave, Merritt, British Columbia","$9,675.00",2024-02-05
Procurement Services Branch ,Ministry of Forests,Req 59412  BCWS Expansion Canopies,187744,Invitation to Quote,2024-01-18,0,2024-01-29,Hilite truck,"5620 landmark way, Surrey, British Columbia","$163,500.00",2024-02-05
BC Timber Sales Branch ,Skeena ,BR25TII102A - 2024 Brushing in the Terrace Area,BR25TII102A,Invitation to Tender,2024-01-19,0,2024-01-31,Mihis Silviculture Contracting,,"$94,701.60",2024-02-06
Ministry of Transportation and Infrastructure,South Coast Regional Office ,Trout Lake Creek Bridge No. 10505,14048MJ0000,Invitation to Tender,2023-12-07,3,2024-01-23,BALLINA CONTRACTING,,"$3,276,581.00",2024-02-06
Procurement Services Branch ,Ministry of Agriculture and Food,Req 41098 - QuantStudio 5 - real-time PCR machine and accessories,5132417,Invitation to Quote,2024-02-06,0,2024-02-06,Life Technologies Inc.,"5250 Mainway, Burlington, Ontario","$149,712.40",2024-02-06
BC Timber Sales Branch ,Prince George ,EN25TGF001 - Prince George Maintenance and Deactivation,EN25TGC001,Invitation to Tender,2024-01-04,4,2024-02-01,Nahanni Construction Ltd,"7840 hwy 16 west, Prince George, British Columbia","$268,879.58",2024-02-07
BC Timber Sales Branch ,Seaward ,SU25THD301 Silviculture Surveys within the Seaward (tlasta) Business Area,SU25THD301,Invitation to Tender,2023-12-15,2,2024-01-25,TTFS,"1295 Anderton Rd, Comox, British Columbia","$130,386.20",2024-02-07
Ministry of Forests,District Offices - West Coast Region ,OP24NAN608 WRR Fuel Management Treatment Rosewall Tower ,187073,Request for Proposal,2024-01-02,1,2024-01-30,Osprey Forest Operations Ltd.,"558 Taylor Road, Victoria, British Columbia","$18,400.00",2024-02-07
Ministry of Transportation and Infrastructure,South Coast Regional Office ,Canal Road Dip Slide - South Pender Island,18102MJ0000,Invitation to Tender,2023-12-15,2,2024-01-26,Dynamite Construction Ltd,"2020 High Schylea Dr, Kamloops, British Columbia","$10,489,107.21",2024-02-07
Procurement Services Branch ,Ministry of Citizens' Services,Req 45384 - Meeting Room Equipment for DWCS Logitech Lenovo,5129445,Invitation to Quote,2024-01-23,0,2024-02-02,Microserve,,"$178,761.60",2024-02-07
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 41085 - 30.06 Ammunition,5131444,Invitation to Quote,2024-01-26,0,2024-02-05,LLOYD LIBKE LAW ENFORCEMENT SALES,"19 INGRAM DRIVE, TORONTO, Ontario","$25,472.00",2024-02-07
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 41086 - 12g Rifled slug ammunition,5132369,Invitation to Quote,2024-01-26,0,2024-02-05,LLOYD LIBKE LAW ENFORCEMENT SALES,"19 Ingram Dr, Toronto, Ontario","$61,600.00",2024-02-07
Procurement Services Branch ,Ministry of Forests,Req 59411 All Terrain Vehicles,5129373,Invitation to Quote,2024-01-16,0,2024-01-30,Cycle North Powersports,"5905 Gauthier Rd, Prince George, British Columbia","$371,400.00",2024-02-07
Procurement Services Branch ,Ministry of Forests,Req 59439 Utility task vehicle UTV or recreational off highway vehicle ROV,5131373,Invitation to Quote,2024-01-16,0,2024-01-30,Cycle North Powersports,"5905 Gauthier Rd, Prince George, British Columbia","$436,200.00",2024-02-07
Procurement Services Branch ,Ministry of Public Safety and Solicitor General,Req 8650 BC BID - ERT Ballistic Soft Body Armour Panels and Groin Protect,5122562,Invitation to Quote,2024-01-05,0,2024-01-17,Uniform Works Limited,"105-89 Cutler Ave, Dartmouth, Nova Scotia","$46,164.18",2024-02-07
Procurement Services Branch ,Ministry of Transportation and Infrastructure,Req 232 Supply and Delivery of Barrier Mounted Steel Fencing ,5131343,Invitation to Quote,2024-01-11,2,2024-01-26,Single Source Supply Inc,"14 Hackett St, East Gwillimbury, Ontario","$40,860.00",2024-02-07
