Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,EN23TIJ409 – Floating Skid Removal and Relocation,EN23TIJ409,ITT,2022/05/24,0,2022/06/14,West Horizon Contracting Inc.,Smithers,British Columbia,Canada,"$125,000.00",2022/07/11,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,EN23TIJ411 - Terrace FSR Maintenance,EN23TIJ411,ITT,2022/06/02,0,2022/06/23,Bear Creek Contracting Ltd.,Terrace,British Columbia,Canada,"$137,706.08",2022/07/11,
Ministry of Citizens' Services,Ministry of Citizens' Services,ROOF AND ENVELOPE FRASER REGIONAL CORRECTIONAL CENTRE MAPLERIDGE,ON-003752,ITT,2022/07/07,15,2022/07/07,Flynn Canada Ltd.,Surrey,British Columbia,Canada,"$5,554,188.00",2022/07/11,
City of Kamloops,City of Kamloops,"RFQ Traffic Signs, Supplies and Materials",348976,RFQ,2022/04/13,0,2022/05/11,Valley Traffic Services Inc.,Langley,British Columbia,,$0.00,2022/07/08,
City of Kamloops,City of Kamloops,"RFQ Sign Posts, Mounts and Hardware",349527,RFQ,2022/05/18,0,2022/06/15,Valley Traffic Services Inc.,Langley,British Columbia,,$0.00,2022/07/08,
Ministry of Forests,Ministry of Forests,Mechanical Roadside/Road Surface Brushing and Danger Tree Remova,EN23DTR020,ITT,2022/06/09,0,2022/07/06,KDC Forestry Consulting Ltd.,Clearwater,British Columbia,Canada,"$52,000.00",2022/07/08,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Sign Installation and Grass Seeding,EN23TGF004,ITT,2022/06/07,0,2022/06/21,656632 BC Ltd / Mackenzie Forestry Services,Mackenzie,British Columbia,Canada,"$14,500.00",2022/07/08,
Provincial Health Services Authority (Incl. BCCSS),Provincial Health Services Authority (Incl. BCCSS),Laboratory Testing Services,PHSA 9014,NOI,2022/05/19,0,2022/05/26,Quest Diagnostics Incorporated,Secaucus,New Jersey,,"$5,000,000.00",2022/07/08,
Royal Roads University,Royal Roads University,RFP # 030322 - Unified Communications Project,030322,RFP,2022/05/12,3,2022/05/25,The Barrington Consulting Group Inc.,Victoria,British Columbia,,$0.00,2022/07/07,
"Ministry of Energy, Mines, and Low Carbon Innovation","Ministry of Energy, Mines, and Low Carbon Innovation",Assessment of Highest Efficiency Equipment Standards,13436,RFP,2022/05/16,0,2022/06/13,Integral Group LLP,Victoria,British Columbia,Canada,"$282,515.00",2022/07/07,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Asphalt Road Resurfacing, Side Roads",17013MJ2022,MOTITT,2022/06/14,0,2022/06/30,O.K. Industries Ltd.,Courtenay,British Columbia,Canada,"$2,098,500.00",2022/07/07,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Asphalt Road Resurfacing, Side Roads",17013MJ2022,MOTITT,2022/06/14,0,2022/06/30,O.K. Industries Ltd.,Courtenay,British Columbia,Canada,"$2,098,500.00",2022/07/07,
Ministry of Forests,Ministry of Forests,Haida Gwaii - MOS2300 & MOS2310 Forest Service Road Deactivation,EN23NAN803,ITT,2022/06/16,0,2022/07/07,Silva Services Ltd.,Duncan,British Columbia,Canada,"$21,905.00",2022/07/07,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,EN23TEK404 - FSR Maintenance and Upgrades - Merritt TSA,EN23TEK404,ITT,2022/06/16,1,2022/06/23,Arnica Contracting Inc.,Merritt,British Columbia,Canada,"$189,975.00",2022/07/07,
Royal British Columbia Museum,Royal British Columbia Museum,Move Consultant,ON-003789,RFP,2022/06/15,3,2022/06/23,N/A,,,,$0.00,2022/07/07,
Ministry of Forests,Ministry of Forests,Haida Gwaii - Graham Island Forest Service Road Deactivation,EN23NAN804,ITT,2022/06/16,0,2022/07/06,Skidegate Inlet Construction Ltd,Victoria,British Columbia,Canada,"$25,400.00",2022/07/06,
BC Liquor Distribution Branch,BC Liquor Distribution Branch,RFP for Delivery Services of Liquor and Non-Liquor Products - R8,RFP2022-05-30,RFP,2022/04/29,0,2022/05/30,Bandstra Transportation Systems Ltd.,Edmonton,Alberta,,"$50,000.00",2022/07/06,
District of Summerland,District of Summerland,XLPE Sodium Hypochlorite Storage Tanks for Water Treatment Plant,RFQ-2022-19,RFQ,2022/04/19,0,2022/05/16,N/A,,,,$0.00,2022/07/06,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Hwy 3 WB lane repair by installation of soil nails and MSE slope,23951MJ0000,MOTITT,2022/06/21,3,2022/06/28,PME Inc.,Fort Saskatchewan,Alberta,Canada,"$2,171,017.90",2022/07/05,
Fraser Health Authority,Fraser Health Authority,Eagle Ridge Hospital(ERH)Elevator 5 Modernization,E112-00,ITT,2022/05/02,0,2022/05/24,Richmond Elevator Maintenance Ltd.,Richmond,British Columbia,,"$281,841.00",2022/07/05,
Ministry of Forests,Ministry of Forests,Archaeological Impact Assessments for Wildfire Risk Reduction,GS23FSJ0001,ITT,2022/05/06,1,2022/05/31,Synergy Land & Environmental services Ltd.,Fort St John,British Columbia,Canada,"$125,250.00",2022/07/05,
Ministry of Forests,Ministry of Forests,Archaeological Impact Assessments for Wildfire Risk Reduction,GS23FSJ0001-2,ITT,2022/06/08,0,2022/06/21,Synergy Land & Environmental Services Ltd.,Fort St John,British Columbia,Canada,"$125,250.00",2022/07/05,
BC Liquor Distribution Branch,BC Liquor Distribution Branch,RFP2022-06-07 Delivery Services of Liquor and Non-Liquor Product,RFP2022-06-07,RFP,2022/05/20,1,2022/06/07,Commercial Logistics Inc.,Richmond,British Columbia,,"$175,000.00",2022/07/05,
Ministry of Forests,Ministry of Forests,Haida Gwaii PSP Sampling,1070-30/OT23FHQ072,ITT,2022/04/22,2,2022/04/28,Mike Daniels ENT.Ltd,Smithers,British Columbia,Canada,"$147,900.00",2022/07/04,
City of Kamloops,City of Kamloops,Structural Engineering - Bridges and Structures,342602,NRFP,2022/04/06,0,2022/05/04,Stantec Consulting Ltd.,Kamloops,British Columbia,,$0.00,2022/07/04,
Ministry of Forests,Ministry of Forests,Major-Retaining Wall Installation at 1.2km Gray Creek - FSR,EN23474006,ITT,2022/05/12,1,2022/06/09,N/A,,,,$0.00,2022/07/04,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,EN23TFF005 - TKO Boundary FSR Deactivation - Various Locations,EN23TFF005,ITT,2022/05/30,1,2022/06/17,Klo-Well Silviculture Ltd.,Kaleden,British Columbia,Canada,"$122,094.70",2022/07/04,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Douglas-fir Bark Beetle Surveys and Treatment Layout ,FH23TLH001,ITT,2022/03/23,0,2022/04/26,N/A,,,,$0.00,2022/07/04,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Douglas-fir Bark Beetle Surveys and Treatment Layout ,FH23TLH001,ITT,2022/03/23,0,2022/04/26,N/A,,,,$0.00,2022/07/04,
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Market Readiness of Emissions Reduction Technologies,GS23JHQ013,SRFP,2022/06/03,5,2022/06/08,KPMG,Vancouver,British Columbia,Canada,"$145,000.00",2022/07/04,
Ministry of Forests,Ministry of Forests,EDRR Invasive Plant Suction Dredge Treatments – Bouchie Lake,IV23HRA461,ITT,2022/06/15,0,2022/06/30,Cariboo Chilcotin Divers Limited,Quesnel,British Columbia,Canada,"$41,872.50",2022/07/04,
Ministry of Labour,Ministry of Labour,Bridging to Retirement Program,RFP23LBR01,RFP,2022/04/20,0,2022/05/11,Stillwater Consulting Ltd.,Cranbrook,British Columbia,Canada,"$125,000.00",2022/07/04,
BC Timber Sales - Contracts,BC Timber Sales - Contracts, SP23TEF656 - Disc Trenching - French Bar - Lillooet TSA,SP23TEF656,ITT,2022/06/02,0,2022/06/21,Green-Link Silviculture Inc.,Williams Lake,British Columbia,Canada,"$90,316.80",2022/07/04,
BC Housing Management Commission,BC Housing Management Commission,Provincial Security Services for BC Housing Sites,1070-2122-036,RFP,2021/08/30,2,2021/09/20,Paladin Security Group Ltd.,Burnaby,British Columbia,,$1.00,2022/07/01,
BC Housing Management Commission,BC Housing Management Commission,"RFP Cleaning Services for LMDM,Orange Hall Offices&Training Hub",1070-2122-059,RFP,2021/10/04,2,2021/10/14,Integral Hospitality Inc.,Coquitlam,British Columbia,,$1.00,2022/07/01,
Ministry of Forests,Ministry of Forests,North Island  PSP Sampling,1070-30/OT23FHQ128,ITT,2022/06/21,0,2022/07/05,Andrew Stapleton,Bella Coola,British Columbia,Canada,"$68,063.00",2022/07/01,
Interior Health Authority,Interior Health Authority,Adult Substance Use Treatment Beds - RFP 2021-22-004,2021-22-004,RFP,2022/02/10,2,2022/02/23,The Bridge Youth and Family Services,Kelowna,British Columbia,,"$3,144,085.00",2022/07/01,
Interior Health Authority,Interior Health Authority,Adult Substance Use Treatment Beds - RFP 2021-22-004,2021-22-004,RFP,2022/02/10,2,2022/02/23,A New Tomorrow Treatment Solutions,Kamloops,British Columbia,,"$6,649,880.63",2022/07/01,
Ministry of Citizens' Services,Queen's Printer,Template Driven Web-to-Print System Services,ON-0013238,RFP,2022/04/22,4,2022/04/29,HEMLOCK PRINTERS LTD.,Burnaby,British Columbia,Canada,$1.00,2022/07/01,
Islands Trust,Islands Trust,Groundwater Recharge Mapping Project,RFP-2023.002,RFP,2022/04/14,0,2022/05/05,GW Solutions Inc.,Nanaimo,British Columbia,,"$65,000.00",2022/07/01,
City of Maple Ridge,City of Maple Ridge,Child Care Operator - Albion Community Centre,RFP-PL22-2,RFP,2022/01/07,0,2022/01/26,YMCA of Greater Vancouver,New Westminster,British Columbia,,$0.00,2022/07/01,
Alberni-Clayoquot Regional District,,Community Wildfire Resilience Plan Creation,RFP - CWRP01-22,Request for Proposal,2022-08-18,0,,Frontera Forest Solutions Inc,,,,"$25,000.00",2022-08-04,
Alberni-Clayoquot Regional District,,West Coast Organic Processing Facility and Tipping Area Construction and Other Works-Earthworks,394 (WCO02-22),Request for Tenders (BPS),2022-09-13,0,,Hazelwood Construction Services,,,,"$2,723,645.23",2022-07-27,
Alberni-Clayoquot Regional District,,Self Contained Breathing Apparatus,RFQ SLVFD SCBA05-22,Request for Quotation (BPS),2022-09-16,0,,Guillevin International Co.,,,,"$177,705.90",2022-09-15,
Alberni-Clayoquot Regional District,,Long Beach Airport Perimeter Fence Engineering Services – Design and Construction ,RFP - LBAF01-22,Request for Proposal,2022-09-21,0,,AVIA NG INC,,,,"$135,460.00",2022-08-15,
Procurement Services Branch ,Avalanche & Weather Programs ,REQ 72 - Sierra Wireless Airlink Modems Model RV55  - no substitutions,1987,Invitation to Quote,2022-06-20,0,2022-06-30,Rogers for Business,,,,"$47,043.36",2022-07-18,
Procurement Services Branch ,Babine ,Grass Seed - Erosion Control and Range Mix,3729,Invitation to Quote,2022-07-08,0,2022-07-15,Northstar Seed Ltd.,Burnaby,British Columbia,,"$24,020.00",2022-07-21,
Ministry of Environment and Climate Change Strategy,BC Parks - Provincial Services Branch ,MUNCHO LAKE RV PARK PROPERTY ENVIRONMENTAL ASSESSMENT ,4945,Request for Proposal,2022-07-25,0,2022-08-19,Core Geoscience Services,Whitehorse,Yukon,,"$100,000.00",2022-09-12,
Procurement Services Branch ,BC Parks - Provincial Services Branch ,Precast Type 1 Concrete Table Bases,2150,Invitation to Quote,2022-06-13,1,2022-06-24,Leko Precast Ltd,Vernon,British Columbia,,"$79,570.00",2022-07-12,
Procurement Services Branch ,BC Parks - Provincial Services Branch ,Plastic Type 1 Campsite Posts,1990,Invitation to Quote,2022-06-10,1,2022-06-24,Wishbone Site Furnishings ,Langley,British Columbia,,"$10,650.00",2022-07-12,
Procurement Services Branch ,BC Parks and Conservation Officer Service Division ,Req 38205 - Accessible Pit Toilet Shell packages - Various BC Locations - ***REQUOTE***,3389,Invitation to Quote,2022-07-04,0,2022-07-14,Pan-Abode International,New Westminster,British Columbia,,"$230,160.00",2022-07-29,
Procurement Services Branch ,BC Parks and Conservation Officer Service Division ,Req 38427 - Fire Rings and Stands,4922,Invitation to Quote,2022-07-25,0,2022-08-08,FYPM Holdings Inc.,Maple Ridge,British Columbia,,"$40,813.64",2022-08-18,
Procurement Services Branch ,BC Timber Sales Branch ,"Req 53170 - Fabricate / Supply four (4) cattleguards (Houston, BC area)",4984,Invitation to Quote,2022-07-26,0,2022-08-05,Alpha Design,Merritt,British Columbia,Canada,"$55,600.00",2022-08-30,
Procurement Services Branch ,BC Timber Sales Branch ,Grass Seed - Erosion Control and Range Mix,3729,Invitation to Quote,2022-07-08,0,2022-07-15,Northstar Seed Ltd.,,,,"$24,020.00",2022-07-21,
Procurement Services Branch ,BC Timber Sales Branch ,"Req 52961 - L100 Modular Timber Decks (30) for Forestry Bridges (Mackenzie area, BC)",4926,Invitation to Quote,2022-07-25,0,2022-08-05,Toosey Old School Wood Products L.P.,,,,"$144,000.00",2022-09-16,
Procurement Services Branch ,BC Wildfire Service ,Req 53449 - Fabricate and Supply Embroidered Crests for BCWS,6170,Invitation to Quote,2022-08-22,0,2022-09-02,PGSG Hercules Inc,Sugar Land,Texas,,"$15,000.00",2022-09-21,
Procurement Services Branch ,BC Wildfire Service ,Req 52569 - Deployment Bags for BCWS,2166,Invitation to Quote,2022-06-14,0,2022-06-24,FAST Limited,Delta,British Columbia,,"$461,250.00",2022-07-13,
Procurement Services Branch ,BC Wildfire Service ,Req 52600 - Fanny Packs - Red Cordura,1803,Invitation to Quote,2022-06-08,0,2022-06-21,FAST Limited,Delta,British Columbia,,"$171,000.00",2022-07-13,
BCNET,,Multiple Location Diverse Network Connections for BCNET Members,2022005,Request for Quotation (BPS),2022-07-20,0,,Shaw Telecom G.P. o/a Shaw Business ,,,,"$464,002.80",2022-07-08,
Camosun College,,Ewing Elevator General Contractor,434,Invitation to Tender (BPS),2022-07-06,0,,Heatherbrae Builders Co. Ltd.,,,,"$1,529,000.00",2022-07-06,
Camosun College,,Chargers Team Transportation,2917,Request for Proposal,2022-08-31,0,,Wilsons Transportation Ltd.,,,,"$75,000.00",2022-08-12,
Procurement Services Branch ,Cariboo District Office ),Cattle Guard Fabrication and Delivery - MoTI - Cariboo District,6492,Invitation to Quote,2022-08-30,0,2022-09-09,Alpha Design,Merritt,British Columbia,,"$585,375.00",2022-09-16,
City of Delta,,Portable Basketball Hoops,22-196,Invitation to Tender (BPS),2022-08-31,0,,Canadian Tire,,,,"$4,319.96",2022-08-31,
City of Delta,,Snow Blowers,22-189,Invitation to Tender (BPS),2022-08-31,0,,Fraser Valley Equipment Ltd.,,,,"$4,077.00",2022-08-31,
City of Delta,,CCTV Inspection Shepherd Way,22-158 Delta,Invitation to Tender (BPS),2022-08-19,0,,Mar-Tech Underground Services Ltd.,"
",,,"$32,597.20",2022-07-26,
City of Fort St John,,Two (2) Half Ton 4X4 Extended Cab Pickup Trucks,3768,Invitation to Tender (BPS),2022-07-08,0,2022-07-26,MURRAY CHEVROLET BUICK GMC,Fort St John,British Columbia,,"$99,541.18",2022-08-29,
City of Kamloops,,"RFP Multi-Disciplinary, Transportation & Traffic Engineering Consulting",345460,Request for Proposal,2022-06-30,0,,IBI Group,,,,$0.00,2022-07-11,
City of Kelowna,,Pier and Dock at Pandosy Waterfront Park,N/A,Invitation to Quote,2022-07-13,0,,City of Kelowna,,,,"$257,449.71",2022-07-07,
City of Kelowna,,Purchase of a John Deere 410 Backhoe Loader,N/A,Direct Award,2022-07-13,0,,City of Kelowna,,,,"$184,533.00",2022-07-07,
City of Kelowna,,"Theatre Lighting, Supply",4274,Invitation to Quote,2022-08-18,0,,ChristieLites (Vancouver),Mississauga,Ontario,,"$359,060.00",2022-08-10,
City of Kelowna,,Consulting - Linear Park Masterplan - Mill Creek,City of Kelowna,Request for Proposal,2022-08-11,0,,BENCH Site Design,Kelowna,British Columbia,,"$132,187.80",2022-07-28,
City of Kelowna,,10997 Construction - Bridge Rehabilitation,1542,Request for Proposal,2022-08-04,0,,Seismic 2000 Construction Ltd. ,Aldergrove,British Columbia,,"$132,128.90",2022-07-28,
City of Kelowna,,"Bus Shelters, Supply and Installation",n/a,Direct Award,2022-08-04,0,,City of Kelowna,Richmond,British Columbia,,"$116,718.00",2022-07-14,
City of Kelowna,,Consulting - Infill Housing,11023,Request for Qualifications (BPS),2022-08-23,0,,Jan Paseska,,,,"$100,000.00",2022-08-23,
City of Kelowna,,"Consulting, DeHart Community Park",11087,Request for Proposal (BPS),2022-08-23,0,,BENCH Site Design,,,,"$461,069.32",2022-08-23,
City of Kelowna,,Consulting - IPD Advising and PM Services - Recreation Center,11112,Request for Qualifications (BPS),2022-08-25,0,,Colliers Project Leaders,,,,"$100,000.00",2022-08-25,
City of Prince George,,Supply & Deliver Four (4) New Mowers,P22-048,Request for Proposal,2022-08-29,0,,OAKCREEK GOLF & TURF LP,Surrey,British Columbia,,"$251,019.94",2022-08-23,
City of Prince George,,Supply & Deliver One (1) New Backhoe Loader,P22-047,Request for Proposal,2022-08-31,0,,Brandt Tractor Ltd.,Prince George,British Columbia,,"$202,765.00",2022-08-24,
City of Prince George,,Supply and Deliver Two (2) New Refuse Trucks,P22-044,Negotiated Request for Proposal (BPS),2022-08-12,0,,ROLLINS MACHINERY,"21869 – 56 Avenue
Langley, BC V2Y 2M9",,,"$973,966.00",2022-07-19,
City of Prince George,,Supply & Deliver One (1) New Storm Pump – First Avenue (PW207),Q22-052,Negotiated Request for Proposal (BPS),2022-08-12,0,,The Cat Rental Store,"1140 Pacific Street
Prince George, BC  V2N 5S3",,,"$106,792.07",2022-07-11,
City of Prince George,,Supply and Deliver Three (3) New Trackless Sidewalk Machines,P22-045,Negotiated Request for Proposal (BPS),2022-08-12,0,,Kendrick Equipment Ltd.,1100 Patricia Boulevard,,,"$539,340.00",2022-07-29,
City of Prince George,,Supply & Deliver Furniture for the New Canfor Leisure Pool,Q22-057,Request for Quotation (BPS),2022-08-12,0,,CDI Spaces,"9319 – 47th Street
Edmonton, AB  T6B 2R7",,,"$103,574.09",2022-08-09,
City of Prince George,,Supply & Deliver One (1) New Storm Pump - First Avenue (PW207),Q22-052,Request for Quotation (BPS),2022-08-16,0,,The Cat Rental Store,"1140 Pacific Street
Prince George, BC V2N 5S3",,,"$106,792.07",2022-07-11,
City of Prince George,,Security Services,22-050,Negotiated Request for Proposal (BPS),2022-09-16,0,,PALADIN SECURITY GROUP LTD.,"190 Victoria Street, Prince George, BC",,,"$729,732.28",2022-07-29,
City of Richmond,,Construction Services for Richmond Cultural Centre Annex T.I.,8111P,Request for Proposal,2022-09-20,0,,Holaco Construction,,,,"$2,497,548.00",2022-08-11,
City of Richmond,,Design Services for Multi-Family Water Meter Installations    ,8129,Notice of Intent (BPS),2022-09-29,0,,Parsons Inc.,Burnaby,,,"$120,000.00",2022-09-28,
City of Richmond,,Supply and Delivery of Automatic Vehicle Location (AVL) Solution and Services,6916P,Request for Proposal,2022-10-03,0,,NERO GLOBAL TRACKING,"Suite 300, 2700 Production Way",,,"$1,350,000.00",2022-09-26,
City of Richmond,,Data Storage Solution and Services,8096Q,Request for Quotation (BPS),2022-08-11,0,,Turning Point Technology Services Inc.,#2200 - 505 Burrard Street,,,"$245,130.80",2022-08-08,
City of Richmond,,PeopleSoft FSCM 2022 Technical Upgrade,8108P,Request for Proposal,2022-08-09,0,,Attain Solutions Inc.,10180-101 Street NW Unit 2750,,,"$213,215.00",2022-08-09,
City of Richmond,,Design Review Services for Steveston Community Centre and Branch Library Replacement,8116P,Request for Proposal,2022-08-30,0,,FaulknerBrowns Architecture Inc,"608-318 Homer Street
Vancouver, BC V6B 2V2",,,"$134,890.00",2022-08-22,
City of Richmond,,City Website Design Specifications Plan,8092,Request for Proposal,2022-09-02,0,,Upanup Studios Inc. ,,,,"$85,750.00",2022-09-02,
City of Richmond,,Design Services for Community Safety Building Emergency Power and Interior Upgrades,8081P,Request for Proposal,2022-09-08,0,,Mallen Gowing Berzins Architecture Inc.,"7 E 6th Ave #300, Vancouver, BC V5T 1J3",,,"$77,650.00",2022-07-06,
City of Richmond,,Prequalification for Architectural Consulting Services,8073PQ,Request for Qualifications (BPS),2022-09-09,0,,DIALOG,"406 - 611 Alexander Street
Vancouver, BC V6A 1E1",,,$0.00,2022-09-01,
City of Richmond,,Prequalification for Architectural Consulting Services,8073PQ,Request for Qualifications (BPS),2022-09-09,0,,Francl Architecture,"970 Homer Street
Vancouver, BC V6B 2W7",,,$0.00,2022-09-01,
City of Richmond,,Prequalification for Architectural Consultant Services,8073PQ,Request for Qualifications (BPS),2022-09-09,0,,studiohub architects Ltd.,"1727 West 3rd Ave.
Vancouver, BC V6J 1K7",,,$0.00,2022-09-01,
City of Richmond,,Prequalification for Architectural Consultant Services,8073PQ,Request for Qualifications (BPS),2022-09-09,0,,Kasian Architecture Interior Design + Planning,"1500 West Georgia, Suite 1685
Vancouver, BC V6G 2T1",,,$0.00,2022-09-01,
City of Richmond,,Prequalification for Architectural Consultant Services,8073PQ,Request for Qualifications (BPS),2022-09-09,0,,MIZA Architects Inc,"303 - 2425 Quebec St
Vancouver, BC V5T 4L6",,,$0.00,2022-09-01,
City of Richmond,,Prequalification for Architectural Consultant Services,8073PQ,Request for Qualifications (BPS),2022-09-09,0,,IREDALE ARCHITECTURE,"220-12 Water Street
Vancouver, BC V6B 1A5",,,$0.00,2022-09-01,
City of Richmond,,Prequalification for Architectural Consultant Services,8073PQ,Request for Qualifications (BPS),2022-09-09,0,,Mallen Gowing Berzins Architecture Inc.,"300 – 7 East 6th Avenue
Vancouver, BC V5T 1J3",,,$0.00,2022-09-01,
City of Richmond,,Prequalification for Architectural Consultant Services,8073PQ,Request for Qualifications (BPS),2022-09-09,0,,Omicron Architecture Engineering Construction Ltd.,"595 Burrard Street
Vancouver, British Columbia V7X 1L4",,,$0.00,2022-09-01,
City of Richmond,,Bosch and Extron Council Chambers Conference Equipment,8121,Notice of Intent (BPS),2022-08-24,0,,PJS Systems,"131 E Columbia St, New Westminster, BC V3L 3V9",,,"$206,471.97",2022-08-24,
City of Richmond,,2022 Asphaltic Concrete Paving,8091P,Request for Proposal,2022-08-23,0,,JACK CEWE CONSTRUCTION LTD,,,,"$5,472,264.20",2022-08-11,
City of Richmond,,McKim Way Distribution Piping Rehabilitation,2183,Request for Proposal,2022-08-23,0,,BEL Contracting,,,,"$1,407,160.00",2022-08-11,
City of West Kelowna,,Fibre Optic Network Cable Placement,3124,Request for Proposal,2022-09-15,0,,RMI Communications Ltd.,,,,"$597,066.93",2022-08-05,
District of Lake Country,,Supply of 4WD Dump Truck,2022-060,Request for Proposal,2022-08-29,0,,METRO MOTORS LTD.,,,,"$117,573.00",2022-08-22,
District of Summerland,,Caterpillar 420XE Backhoe,n/a,Direct Award,2022-09-13,0,,The Cat Rental Store,"1714 Kalamalka Road, Vernon BC V1T 6M4",,,"$215,500.00",2022-09-12,
District of Summerland,,Caterpillar 950M Wheel Loader per Sourcewell contract # 032119-CAT,n/a,Direct Award,2022-08-18,0,,The Cat Rental Store,"1714 Kalamalka Road, Vernon BC V1T 6M4",,,"$480,000.00",2022-08-18,
District of Summerland,,3 x Electric Passenger Vehicles - 2023 Nissan Leaf SV; model P5RE13,n/a,Direct Award,2022-08-18,0,,Penticton Nissan,"151 Satikw Crescent, Penticton, BC  V2A 6J7",,,"$124,851.00",2022-08-17,
District of Summerland,,Alder Street Storm Repair,ITT-2022-27,Invitation to Tender (BPS),2022-09-23,0,,superior excavating,"6789 Thorne Rd., Peachland, British Columbia, Canada, v0h1x9",,,"$100,000.00",2022-08-30,
District of Summerland,,Eneas Creek Restoration Site 5 & 6,ITT-2022-30,Invitation to Tender (BPS),2022-09-23,0,,Cabin Resource Management,"20A 100 Kalamalka Lake Rd, Vernon, BC V1T 9G1",,,"$183,298.00",2022-08-19,
District of Summerland,,Managed Print Services,RFP-2022-25,Request for Proposal,2022-09-23,0,,West X Business Solutions Inc.,"1050-1075 West Georgia St, Vancouver, BC",,,"$168,669.72",2022-08-31,
District of Summerland,,2024 SMEAL Side Mount Pump Fire Truck,n/a,Direct Award,2022-09-23,0,,Safetek Emergency Vehicles Ltd.,"30686-A Matsqui Place, Abbotsford, BC V2T 6L4",,,"$712,856.00",2022-09-13,
Procurement Services Branch ,Enforcement Program / Conservation Officer Service ,Req 38425 - Concrete Vaults and Slabs for pit toilets,4641,Invitation to Quote,2022-07-21,0,2022-08-02,Tri-Kon Precast Products,"601 Patterson St W, Cranbrook, British Columbia",,,"$51,595.44",2022-08-16,
Procurement Services Branch ,IM/IT Procurement Services ,Jira Software (Cloud) - 100 Users 24 Month Term,6581,Invitation to Quote,2022-09-01,0,2022-09-12,Highway Three Solutions Ltd.,"1081 FORT ST., Victoria, British Columbia",,,"$17,212.50",2022-09-16,
Ministry of Environment and Climate Change Strategy,Information Innovation & Technology  ,MAINTENANCE AND ENHANCEMENT SUPPORT FOR MINISTRY OF AGRICULTURE APPLICATIONS,1879,Request for Proposal,2022-06-08,0,2022-07-06,Vivid Solutions,"2328 Government St, Victoria, British Columbia",,,"$25,000.00",2022-08-19,
Procurement Services Branch ,Information Management Branch ,Req 76 - Sierra Wireless Airlink Token Service Packs,2592,Invitation to Quote,2022-06-20,1,2022-06-30,Ralph's Radio Ltd.,"1490 Venables St, Vancouver, British Columbia",,,"$31,074.82",2022-07-13,
Procurement Services Branch ,Knowledge Management Branch ,Req 38482 - Grundfos Redi-Flow 2 Pumps and accessories,5430,Invitation to Quote,2022-08-04,1,2022-08-15,"Hoskin Scientific, Ltd","3735 Myrtle St, Burnaby, British Columbia",,,"$30,117.00",2022-08-17,
Liquor Distribution Branch,,Supply and Delivery of Hand Wrap Stretch Film,ITQ2022-08-15,Invitation to Quote,2022-08-24,0,,CP Packaging Corp,"1A-464 Fraser View Place, Delta, BC, V3M 6H4",,,"$34,560.00",2022-08-19,
Liquor Distribution Branch,,"NOI2022-07-12 Supply, Installation, Repairs and Maintenance of Roll Shutters",NOI2022-07-12,Notice of Intent (BPS),2022-09-06,0,,Talius,"5501-46th Avenue, Salmon Arm, BC",,,"$120,000.00",2022-08-29,
Liquor Distribution Branch,,Delivery Services of Liquor and Non-Liquor Products for Region 9 - Hwy 97 Area,RFP2022-07-19,Request for Proposal (BPS),2022-06-08,2,2022-07-26,Bandstra Transportation Systems Ltd.,"P.O. BOX 95, SMITHERS, British Columbia",,,"$1,400,000.00",2022-09-23,
"Ministry of Advanced Education, Skills and Training",,Updating the British Columbia labour market forecast and projections,AEST-LMIO-002,Request for Proposal,2022-09-20,0,,Stokes Economics,,,,"$117,674.66",2022-09-01,
Procurement Services Branch ,Ministry of Children and Family Development,RFP Application Management Services,2257,Request for Proposal,2022-06-22,8,2022-07-25,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS INC.,Victoria,British Columbia,Canada,"$24,300,000.00",2022-09-16,
Ministry of Citizens' Services,,RFP Prime Consultant-1515 Blanshard Street,ON-000620,Request for Proposal,2022-09-28,0,,Zeidler Architecture,,,,"$1,772,190.00",2022-08-26,
Ministry of Citizens' Services,,Application Registry Discovery,347,Request for Proposal,2022-08-10,0,,OXD,,,,"$249,550.00",2022-08-10,
Procurement Services Branch ,Ministry of Citizens' Services,"11RTZ9ARUS - Lenovo Bluetooth Sound Bar Speaker - 40 W RMS - Stand Mountable, Wall Mountable SYNNEX",6048,Invitation to Quote,2022-08-18,0,2022-08-29,Microserve,Burnaby,British Columbia,Canada,"$87,352.50",2022-09-06,
