Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Replacement Irrigation Mainline at Cowichan Lake Res. Station,MW22JHQ024,ITT,2021/11/04,2,2021/11/10,N/A,,,,$0.00,2021/11/19
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","North Island Central Coast District, Songhees Main FSR & Georgie",EN22NAN911,ITT,2021/06/10,0,2021/06/29,N/A,,,,$0.00,2021/11/18
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Request for Standing Offer: Sleeping Bag (Chilliwack BC),ITQ-006690,ITQ,2021/05/23,0,2021/06/01,N/A,,,,$0.00,2021/11/17
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Communications strategies & professional writing for caribou rec,1070-30/OT22FHQ163,RFP,2021/09/08,2,2021/09/14,N/A,,,,$0.00,2021/11/16
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Maintenance - Kettle Valley Rail Trail - Shinish ,EN22474031,ITT,2021/10/01,0,2021/10/21,N/A,,,,$0.00,2021/11/15
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",SEA CAN (100 MILE HOUSE BC),ITQ-006803,ITQ,2021/09/23,1,2021/10/01,N/A,,,,$0.00,2021/11/08
Ministry of Citizens' Services,Ministry of Citizens' Services,Zephyr Squad - Test Management for JIRA (Victoria BC),ITQ-006830,ITQ,2021/10/28,2,2021/11/03,N/A,,,,$0.00,2021/11/08
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Process Management for Fort St John Land Use Planning,GS22FSJ0015,SRFP,2021/08/13,1,2021/09/08,N/A,,,,$0.00,2021/11/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Information Management and Geospatial Services for Land Use Plan,GS22FSJ0016,RFP,2021/09/08,1,2021/09/10,N/A,,,,$0.00,2021/11/01
Ministry of Children and Family Development,Ministry of Children and Family Development,Youth Outreach Worker Dawson Creek,NR108SRFP,SRFP,2021/08/12,1,2021/09/10,N/A,,,,$0.00,2021/11/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Bells Lake Fence Removal,RA22DCC001,ITT,2021/10/06,1,2021/10/13,N/A,,,,$0.00,2021/10/28
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Program Evaluation: Gang Intervention and Exiting Program,12535,SRFP,2021/07/12,0,2021/08/12,N/A,,,,$0.00,2021/10/27
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Williams Lake IFB_27a & IFB_27b South Lakeside Wildfire Risk,FI22DCC003,SRFP,2021/10/05,4,2021/10/07,N/A,,,,$0.00,2021/10/25
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,West Arm Park Fuelbreak Development TU 2 B Five Mile Creek,OP22NLE129,RFP,2021/08/06,1,2021/08/20,N/A,,,,$0.00,2021/10/19
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,West Arm Park Fuelbreak Development TU 2 B Five Mile Creek,OP22NLE129,RFP,2021/08/06,1,2021/08/20,N/A,,,,$0.00,2021/10/19
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Embroidered Insignia Patches for BC Parks ,ON-003691,RSO,2021/09/28,5,2021/10/12,N/A,,,,$0.00,2021/10/15
Ministry of Attorney General,Ministry of Attorney General,ITQ -Air Transport Services,12627,ITQ,2021/08/25,2,2021/09/03,N/A,,,,$0.00,2021/10/12
Ministry of Attorney General,Ministry of Attorney General,ITQ -Air Transport Services,12627,ITQ,2021/08/25,2,2021/09/03,N/A,,,,$0.00,2021/10/12
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Information Management and Geospatial Services for Land Use Plan,GS22FSJ0016,RFP,2021/09/08,1,2021/09/10,N/A,,,,$0.00,2021/10/12
Ministry of Citizens' Services,Ministry of Citizens' Services,Cisco Networking Equipment,ITQ-006792,ITQ,2021/09/21,1,2021/09/27,N/A,,,,$0.00,2021/10/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",FFT Silviculture Surveys and Treatment Plans Quesnel District,OP22DQU001B,ITT,2021/08/24,0,2021/09/09,N/A,,,,$0.00,2021/10/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Source, haul, place and compact gravel on Wilcox-Dempsey FSR",EN22474-016,ITT,2021/10/15,0,2021/10/26,Dowling C. Monette Logging Ltd.,100 Mile House,British Columbia,Canada,"$15,890.00",2021/11/01
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Supply & deliver Type II Table Legs (Victoria BC),ITQ-006806,Itq,2021/09/22,0,2021/10/01,T-Rex Metal Industries Ltd.,Abbotsford,British Columbia,Canada,"$72,688.00",2021/10/19
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Supply & deliver 40 Fire Rings (Victoria BC),ITQ-006807,Itq,2021/09/23,1,2021/10/01,T-Rex Metal Industries Ltd.,Abbotsford,British Columbia,Canada,"$13,305.60",2021/10/19
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Construction on Big Bar Lake Road,24665MJ0001,MOTITT,2021/09/16,1,2021/09/28,Timbro Contracting (A Partnership),Agassiz,British Columbia,Canada,"$1,823,304.20",2021/10/21
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,16 - 16t Rigid Hull Inflatable with motor and trailer (PG),ITQ-006822,Itq,2021/10/07,0,2021/10/18,Open Air Equipment Ltd.,Aldergrove,British Columbia,Canada,"$52,581.75",2021/11/03
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Requote: UTILITY TRAILER (VERNON, BC)",ITQ-006802R,Itq,2021/10/14,0,2021/10/25,Mike Rosman Holdings Ltd.,Armstrong,British Columbia,Canada,"$6,893.60",2021/11/12
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Requote: 12 FOOT CARGO TRAILER (PRINCE GEORGE, BC)",ITQ-006761R,Itq,2021/10/13,1,2021/10/18,Mike Rosman Holdings Ltd.,Armstrong,British Columbia,Canada,"$9,290.40",2021/10/19
Procurement Services Branch,Ministry of Transportation and Infrastructure,Low Profile Wheel Load Scale & Levelling Mat(multiple locations),ITQ-006812,Itq,2021/10/12,0,2021/10/20,177180 Canada Inc,Baie d'Urfe,Quebec,Canada,"$68,812.80",2021/11/02
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,BCP2021-05 Desolation Sound Park Operator Agreement,BCP2021-05,ITQ,2021/09/15,2,2021/10/06,1312768 BC LTD,Black Creek,British Columbia,Canada,"$178,706.00",2021/12/20
Ministry of Environment and Climate Change Strategy,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",IS22IIT039RFP Arches,IS22IIT039RFP,RFP,2021/11/24,2,2021/11/29,QED SYSTEMS INC.,Bowen Island,British Columbia,Canada,"$200,000.00",2021/10/20
"Ministry of Energy, Mines, and Low Carbon Innovation","Ministry of Energy, Mines, and Low Carbon Innovation",Aviation Fuel Analysis,PA22EM0003SF,SRFP,2021/09/16,0,2021/10/01,Waterfall Advisors Group Ltd.,Bowen Island,British Columbia,Canada,"$15,000.00",2021/10/12
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.","FLOW METER AND WADING ROD (Surrey, BC)",ITQ-006847,Itq,2021/11/10,0,2021/11/19,Hoskin Scientific Ltd,Burnaby,British Columbia,Canada,"$17,956.93",2021/12/14
Procurement Services Branch,Ministry of Citizens' Services,Lenovo ThinkSmart Hubs w/ Logitech Vid Conferencing Accessories,ITQ-006856,Itq,2021/11/22,1,2021/12/01,341234 BC Ltd,Burnaby,British Columbia,Canada,"$767,723.95",2021/12/13
Ministry of Citizens' Services,Ministry of Citizens' Services,Lean Services- Request for Standing Arrangement,ON-003688,RSO,2021/09/16,1,2021/09/29,Cognitive Process Consulting Ltd.,Burnaby,British Columbia,Canada,$0.00,2021/11/01
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",RPAS - Autel EVO II DUAL 640 T Rugged Bundle or equivalent,ITQ-006819,Itq,2021/10/08,1,2021/10/15,879142 Alberta Ltd.,Burnaby,British Columbia,Canada,"$12,880.00",2021/10/27
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,RFQ BCBID 12457 H14  Idlemore Road Intersection Improvements,12457,RQU,2021/06/24,1,2021/06/30,RF Binnie & Associates Ltd.,Burnaby,British Columbia,Canada,"$1,200,000.00",2021/10/21
Procurement Services Branch,Ministry of Transportation and Infrastructure,Remotely Piloted Aerial System (RPAS) (Coquitlam BC),ITQ-006810,Itq,2021/10/01,1,2021/10/06,Dronelogics Systems Inc.,Burnaby,British Columbia,Canada,"$10,388.96",2021/10/19
Procurement Services Branch,Ministry of Transportation and Infrastructure,Renewal of the VMWare ThinApp licenses ,ITQ-006809,Itq,2021/10/05,2,2021/10/07,341234 BC Ltd,Burnaby,British Columbia,Canada,"$3,764.05",2021/10/12
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Indigenous Groups Consultation and Accommodation Advisors,PLMB-FNA-14062021,RFP,2021/07/22,2,2021/08/03,Jemma Scoble and Associates Consulting Inc.,Burnaby,British Columbia,Canada,"$500,000.00",2021/10/01
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,"Upgrades to Black Creek Vessel (Zodiac, C15096BC)",ITQ-006824,Itq,2021/10/12,0,2021/10/20,Campbell River Boatland (1982) Ltd,Campbell River,British Columbia,Canada,"$25,272.29",2021/12/15
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Design/fabricate/supply 1 steel girder/concrete deck bridge (PG),ITQ-006868,Itq,2021/11/29,0,2021/12/08,Pioneer Precast Products,Chilliwack,British Columbia,Canada,"$381,979.36",2021/12/13
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Search and Rescue Rope Training,RFQEMB61,RQU,2021/09/23,5,2021/09/23,Rescue Canada Resource Group Inc,Chilliwack,British Columbia,Canada,$0.00,2021/12/10
Ministry of Attorney General,Ministry of Attorney General,Notice of Intent to Direct Award a Contract,12808,NOI,2021/11/04,0,2021/11/18,Aaron Pete,Chilliwack,British Columbia,Canada,"$5,000.00",2021/12/06
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Design/fabricate/supply 1 composite steel girder/concrete bridge,ITQ-006832,Itq,2021/11/15,4,2021/11/18,Pioneer Precast Products,Chilliwack,British Columbia,Canada,"$299,600.00",2021/11/29
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Design/Fabricate/Supply 1 X Concrete Slab Bridge (Natalkus),ITQ-006850,Itq,2021/11/22,1,2021/11/24,Pioneer Precast Products,Chilliwack,British Columbia,Canada,"$169,106.56",2021/11/29
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",2021 Chilliwack Forest District Bridge Guard Rail Replacement ,EN22NAN913,ITT,2021/10/29,3,2021/11/02,IOTA Construction Ltd.,Chilliwack,British Columbia,Canada,"$131,721.00",2021/11/02
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Aerial Application of Fertilizer,FE22LMN004,ITT,2021/08/25,1,2021/08/31,Western Aerial Applications Ltd.,Chilliwack,British Columbia,Canada,"$815,818.27",2021/10/08
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Project Developer,PTB211001,RFP,2021/10/01,0,2021/10/29,C.Boehringer & Associates,Coquitlam,British Columbia,Canada,"$95,000.00",2021/12/17
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Search and Rescue Rope Training,RFQEMB61,RQU,2021/09/23,5,2021/09/23,Dynamic Rescue Training Ltd,Coquitlam,British Columbia,Canada,$0.00,2021/12/10
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Search and Rescue Rope Training,RFQEMB61,RQU,2021/09/23,5,2021/09/23,Ronin Safety and Rescue Inc,Coquitlam,British Columbia,Canada,$0.00,2021/12/10
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt Road Resurfacing - North Island - Gainsberg Road,16736MJ2021,MOTITT,2021/11/24,3,2021/12/01,Edgett Excavating Ltd.,Courtenay,British Columbia,Canada,"$2,226,145.39",2021/12/09
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Aquatic Refugia Analysis Support:streamflow & macrorefugia,GS22957-021,SRFP,2021/11/22,2,2021/11/26,MacDonalds Hydrology Consultants Ltd.,Cranbrook,British Columbia,Canada,"$38,000.00",2021/12/01
Procurement Services Branch,Ministry of Transportation and Infrastructure,Fabricate / Supply two (2) 14.51m ungulate guards (Cranbrook),ITQ-006851,Itq,2021/11/15,0,2021/11/23,TRI-KON PRECAST PRODUCTS LTD.,Cranbrook,British Columbia,Canada,"$388,478.89",2021/11/24
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Body Removal and Transport - Cranbrook ,BCCS22ITQ711A,ITQ,2021/10/07,1,2021/10/13,McPherson Funeral Services Ltd.,Cranbrook,British Columbia,Canada,"$190,000.00",2021/10/20
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Body Removal and Transport- Cranbrook ,BCCS22NOI711D,NOI,2021/09/21,0,2021/10/05,McPherson Funeral Serivces,Cranbrook,British Columbia,Canada,"$190,000.00",2021/10/20
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Body Removal and Transfer- Creston ,BCCS22ITQ711B,ITQ,2021/11/01,2,2021/11/02,G.F. Oliver Funeral Chapel,Creston,British Columbia,Canada,"$100,000.00",2021/11/30
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Body Removal & Transport- Creston ,BCCS22NOI711E,NOI,2021/09/24,0,2021/10/08,G.F Oliver Funeral Chapel Ltd.,Creston,British Columbia,Canada,"$20,000.00",2021/10/14
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Boothman Test Well Drilling,RA22DSE002,NOI,2021/09/16,1,2021/09/30,Wild West Drilling Inc,Creston,British Columbia,Canada,"$16,401.00",2021/10/13
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Search and Rescue Rope Training,RFQEMB61,RQU,2021/09/23,5,2021/09/23,Island Alpine Guides Inc,Cumberland,British Columbia,Canada,$0.00,2021/12/10
Procurement Services Branch,Ministry of Public Safety & Solicitor General & Emergency B.C.,Ballistic Soft Body Armour Panels for ERT Vests (Maple Ridge BC),ITQ-006858,Itq,2021/11/23,0,2021/12/02,UNIFORM WORKS LIMITED,Dartmouth,Nova Scotia,Canada,"$24,786.58",2021/12/14
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,ITQ BCP2021-14 Boya Lake,BCP2021-14,ITQ,2021/08/17,1,2021/09/21,Marnee Allison dba Looking Twice Sublimation Signs & Products,Dease Lake,British Columbia,Canada,"$62,000.00",2021/11/01
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Indigenous Engagement for remediation of contaminated sites,12761,SRFP,2021/11/10,2,2021/11/22,Naut'sa mawt Resources Group,Delta,British Columbia,Canada,"$78,500.00",2021/12/16
Procurement Services Branch,Ministry of Public Safety & Solicitor General & Emergency B.C.,"Steel Storage Container (Surrey, BC)",ITQ-006831,Itq,2021/10/25,0,2021/11/03,Rocky Mountain Environmental Ltd,Delta,British Columbia,Canada,"$16,522.24",2021/11/08
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Wildwood Bridge - Seismic Retrofit and Condition Renewal,12916MJ0001,MOTITT,2021/10/14,3,2021/10/26,Luxton Construction Inc.,Delta,British Columbia,Canada,"$2,871,840.00",2021/11/03
"Ministry of Energy, Mines, and Low Carbon Innovation","Ministry of Energy, Mines, and Low Carbon Innovation",Energy Effectiveness Ratio methodology by fuel and vehicle ,12680,SRFP,2021/08/30,0,2021/09/27,S&T Squared Consultants Inc.,Delta,British Columbia,Canada,"$13,000.00",2021/10/25
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Lansweeper Software - Workstation Asset Inventory Reporting,ITQ-006825,Itq,2021/10/13,0,2021/10/21,Lansweeper NV,Dendermonde,N/A,Belgium,"$10,000.00",2021/10/27
Procurement Services Branch,Ministry of Transportation and Infrastructure,Design/Fabricate/Supply All Steel Portable Bridges-Prince George,ITQ-006880,Itq,2021/12/06,0,2021/12/15,Surespan Structures Ltd.,Duncan,British Columbia,Canada,"$795,872.00",2021/12/17
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Coastal Fire Centre – Site Survey,ITQ22BCWSHQ009,ITQ,2021/10/19,4,2021/10/26,Polaris Land Surveying Inc.,Duncan,British Columbia,Canada,"$7,500.00",2021/10/28
Procurement Services Branch,Ministry of Transportation and Infrastructure,Corrugated Steel Pipe (Smithers BC) ,ITQ-006871,Itq,2021/11/30,0,2021/12/08,Armtec Inc.,Edmonton,Alberta,Canada,"$57,715.04",2021/12/09
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Eight (8) Mountain Snowmobiles - Prince George,ITQ-006790,Itq,2021/10/08,7,2021/10/25,MMD Sales Ltd.,Edmonton,Alberta,Canada,"$88,581.11",2021/11/03
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Invitation to Quote Moose SRB 7-36,GS22FSJ0031,ITQ,2021/10/14,0,2021/11/19,Blackbird Environmental Ltd.,Fort St John,British Columbia,Canada,"$45,550.00",2021/11/29
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Type II Picnic Tables - Golden Ears Provincial Park,ITQ-006869,Itq,2021/11/30,0,2021/12/09,Ennadai Woodworks Inc,Golden,British Columbia,Canada,"$50,736.00",2021/12/13
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,"BC Parks Type 1 Table Bases (Wasa, BC)",ITQ-006863,Itq,2021/11/25,0,2021/12/06,Ennadai Woodworks Inc,Golden,British Columbia,Canada,"$40,577.60",2021/12/08
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Type 2 Picnic Table Seat and Table Boards (Goldstream),ITQ-006805,Itq,2021/09/22,0,2021/10/01,Ennadai Woodworks Inc,Golden,British Columbia,Canada,"$49,403.20",2021/10/04
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Body Removal and Transfer - Grand Forks ,BCCS22NOI711F,NOI,2021/11/18,1,2021/11/22,Grand Forks Funeral home and Cremation Centre Ltd,Grand Forks,British Columbia,Canada,"$10,000.00",2021/12/03
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Body Removal and Transfer - Grand Forks ,BCCS22NOI711F,NOI,2021/11/18,1,2021/11/22,Grand Forks funeral home and Cremation centre ltd.,Grand Forks,British Columbia,Canada,"$10,000.00",2021/11/23
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,ITQ 2021BCP-15 Red Bluff,BCP2021-15,ITQ,2021/08/23,2,2021/09/21,David Charles Canning dba Babine Builders,Granisle,British Columbia,Canada,"$105,537.00",2021/12/01
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Remote wildlife cameras, each with a security box and lock.",ITQ-006859,Itq,2021/11/25,0,2021/12/03,"Reconyx, Inc",Holmen,Wisconsin,United States,"$56,380.00",2021/12/08
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Search and Rescue Rope Training,RFQEMB61,RQU,2021/09/23,5,2021/09/23,Basecamp Innovations Ltd,Invermere,British Columbia,Canada,$0.00,2021/12/10
Procurement Services Branch,Ministry of Transportation and Infrastructure,@Risk Pro Concurrent Network Subscription (2 year term),ITQ-006841,Itq,2021/11/05,0,2021/11/15,Palisade Corporation,Ithaca,New York,United States,"$33,877.50",2021/11/25
Procurement Services Branch,Ministry of Transportation and Infrastructure,"Design, Fabricate, and Supply ASP Bridges (Falkland, BC)",ITQ-006845,Itq,2021/11/10,0,2021/11/19,Magnum Fabricators Ltd.,Kamloops,British Columbia,Canada,"$845,320.00",2021/12/06
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,SRFP Indigenous Justice Program - Kamloops,KAM2021-IJP,SRFP,2021/07/12,0,2021/08/09,Four Circles Justice Society,Kamloops,British Columbia,Canada,"$97,623.00",2021/10/01
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,20' Sea - Can One Trip Containers (Cranbrook and Kelowna),ITQ-006875,Itq,2021/12/03,0,2021/12/13,Secure-Rite Mobile Storage Inc.,Kelowna,British Columbia,Canada,"$16,184.00",2021/12/16
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Retaining Wall Construction at 16.2km South Fork FSR,EN23474001,ITT,2021/11/15,2,2021/11/16,Carver Construction Ltd.,Kelowna,British Columbia,Canada,"$172,256.40",2021/12/15
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Body Removal and Transfer - South Okanagan ,BCCS22NOI711G,NOI,2021/11/16,0,2021/11/30,C.Thompson and Son Ltd,Kelowna,British Columbia,Canada,"$50,000.00",2021/12/03
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Geotechnical Engineering “As & When” for Highway Improvement Pro,RFQ 2021-SCR-GEO,RQU,2021/07/23,1,2021/08/16,Ecora Engineering & Resource Group Ltd.,Kelowna,British Columbia,Canada,"$3,000,000.00",2021/11/18
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Wildfire Risk Reduction (WRR) Hand Treatments - Kimberley,FS22DRM003,ITT,2021/11/01,1,2021/11/16,Momentum Mountain Solutions Ltd.,Kimberley,British Columbia,Canada,"$185,260.00",2021/11/16
Procurement Services Branch,Ministry of Transportation and Infrastructure,Rental of Portable Digital Message Signs (Greater Vancouver),ITQ-006815,Itq,2021/10/05,0,2021/10/14,Barricades And Signs Ltd.,Langley,British Columbia,Canada,"$31,920.00",2021/11/25
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Utility Task Vehicle (North Vancouver),ITQ-006826,Itq,2021/10/12,0,2021/10/21,Holeshot Motorsports Ltd.,Langley,British Columbia,Canada,"$65,198.78",2021/10/25
Procurement Services Branch,Ministry of Citizens' Services,"****Requote**** Forklift (Victoria, BC)",ITQ-006835,Itq,2021/11/01,1,2021/11/08,GN Johnston Equipment,Mississauga,Ontario,Canada,"$145,772.20",2021/11/30
Procurement Services Branch,Ministry of Citizens' Services,Adobe Experience Manager Forms 6.5 (Victoria BC),ITQ-006854,Itq,2021/11/19,0,2021/11/29,CompuMSTR Inc.,Mississauga,Ontario,Canada,"$22,456.99",2021/11/30
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Replacement Irrigation Mainline at Cowichan Lake Res. Station,MW22JHQ024,ITT,2021/11/04,2,2021/11/10,N/A,,,,$0.00,2021/11/19
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","SFRP Southern Mainland Coast, Marbled Murrelet Aerial Surveys",GS22LMN0030,SRFP,2021/11/19,1,2021/11/25,"Bernard K Schroeder, Bernard K Schroeder Consulting",Nanaimo,British Columbia,Canada,"$77,425.00",2021/12/03
